,time,moving,distance,gap_distance,watts,watts_calc,heartrate,cadence,velocity_smooth,pace,gap,lat,lng,temp,altitude,altitude_smooth,grade_smooth,distance_calc(m),gps_delta(m),weight_bike_rider_50,weight_bike_rider_60,weight_bike_rider_70,weight_bike_rider_80,weight_bike_rider_90,weight_bike_rider_100,weight_bike_rider_110,weight_bike_rider_120,speed_from_sensor(m/s),speed_from_gps(m/s),wind_resistance_sensor(N),wind_resistance_gps(N),accel_sensor(m2/s),accel_gps(m2/s)
2365,2365,   true,25929.3,26249.7,208,328,147,84,11.9,0.0852272727272739,0.0848256361922726,51.209219,-0.26534800000000003,11,73.2,73.76129032258065,0.4,25907.969602516005,11.797174564982473,50,60,70,80,90,100,110,120,11.799999999999272,11.797174564981106,46.95700380359422,46.934519383437234,-0.10000000000218279,-0.007178992844274035
2366,2366,   true,25940.8,26261.3,125,451,147,83,11.8,0.08530805687203792,0.0848256361922697,51.209241999999996,-0.265187,11,73.4,73.68387096774192,0.4,25919.47295517248,11.5033526564776,50,60,70,80,90,100,110,120,11.5,11.503352656476636,44.599710952500004,44.625719527466636,-0.2999999999992724,-0.2938219085044693
2367,2367,   true,25952.2,26272.7,209,298,147,83,11.7,0.08547008547008605,0.08498583569404981,51.209271,-0.26503000000000004,11,73.4,73.61290322580646,0.4,25930.875237378066,11.402282205585877,50,60,70,80,90,100,110,120,11.400000000001455,11.402282205584925,43.82743618441119,43.84498587415979,-0.09999999999854481,-0.10107045089171152
2368,2368,   true,25963.8,26284.3,275,338,147,89,11.6,0.0855513307984785,0.08498583569404981,51.209302,-0.264873,11,73.4,73.54193548387096,0.0,25942.342390514543,11.46715313647815,50,60,70,80,90,100,110,120,11.599999999998545,11.467153136476554,45.37873047838862,44.34529904420625,0.19999999999708962,0.06487093089162954
2369,2369,   true,25975.5,26296.0,294,337,146,91,11.6,0.08571428571428573,0.08498583569404981,51.209333,-0.26471300000000003,11,73.4,73.47741935483872,0.0,25954.009023461233,11.666632946688452,50,60,70,80,90,100,110,120,11.700000000000728,11.666632946689788,46.164494762105754,45.90155857846021,0.10000000000218279,0.19947981021323358
2370,2370,   true,25987.3,26307.9,269,345,146,91,11.6,0.08604206500955842,0.0852272727272739,51.209364,-0.264552,11,73.4,73.4258064516129,0.4,25965.742218268482,11.733194807249768,50,60,70,80,90,100,110,120,11.799999999999272,11.733194807249674,46.95700380359422,46.4268187570084,0.09999999999854481,0.06656186055988655
2371,2371,   true,25999.0,26319.7,225,321,146,91,11.6,0.0861244019138756,0.08498583569404981,51.209396999999996,-0.264392,11,73.4,73.38064516129033,0.4,25977.476467980854,11.734249712373364,50,60,70,80,90,100,110,120,11.700000000000728,11.73424971237182,46.164494762105754,46.435167393739015,-0.09999999999854481,0.0010549051221460104
2372,2372,   true,26010.8,26331.7,250,507,146,90,11.7,0.08604206500956144,0.08450704225352113,51.20943,-0.264232,11,73.6,73.3483870967742,0.9,25989.21071010709,11.734242126236014,50,60,70,80,90,100,110,120,11.799999999999272,11.734242126236495,46.95700380359422,46.435107353539,0.09999999999854481,-7.5861353252548724e-06
2373,2373,   true,26022.5,26343.7,275,321,146,89,11.7,0.08620689655172294,0.0844277673545949,51.209465,-0.264074,11,73.6,73.3225806451613,1.3,26000.88493486941,11.674224762319247,50,60,70,80,90,100,110,120,11.700000000000728,11.674224762318772,46.164494762105754,45.961316960020156,-0.09999999999854481,-0.06001736391772283
2374,2374,   true,26033.9,26355.3,243,443,146,89,11.7,0.08645533141210496,0.08442776735459777,51.209497999999996,-0.263919,11,73.8,73.30967741935486,0.9,26012.28884554323,11.40391067382059,50,60,70,80,90,100,110,120,11.400000000001455,11.403910673820064,43.82743618441119,43.85751060634004,-0.2999999999992724,-0.27031408849870786
2375,2375,   true,26045.3,26367.2,255,468,146,88,11.6,0.08695652173913042,0.08490566037735849,51.209533,-0.263765,11,74.0,73.30322580645165,1.8,26023.700729364904,11.411883821675284,50,60,70,80,90,100,110,120,11.399999999997817,11.411883821674564,43.827436184383224,43.91885879967839,-3.637978807091713e-12,0.007973147854499985
2376,2376,   true,26056.8,26379.2,170,322,145,88,11.6,0.08754863813229634,0.0855513307984785,51.209565999999995,-0.26361,11,74.0,73.29677419354842,1.8,26035.104624943255,11.403895578352495,50,60,70,80,90,100,110,120,11.5,11.403895578350784,44.599710952500004,43.857394497176294,0.10000000000218279,-0.007988243323779898
2377,2377,   true,26068.2,26390.9,163,621,146,88,11.5,0.08814887365327921,0.0862895493767983,51.209596000000005,-0.263454,11,74.4,73.30967741935488,1.3,26046.472165639116,11.367540695862663,50,60,70,80,90,100,110,120,11.400000000001455,11.367540695860953,43.82743618441119,43.578211135364896,-0.09999999999854481,-0.03635488248983165
2378,2378,   true,26079.6,26402.6,107,468,145,87,11.4,0.08858267716535559,0.08695652173913042,51.209629,-0.2633,11,74.6,73.341935483871,1.3,26057.8101134754,11.337947836283464,50,60,70,80,90,100,110,120,11.399999999997817,11.337947836284002,43.827436184383224,43.35161413976031,-3.637978807091713e-12,-0.029592859576951014
2379,2379,   true,26090.8,26413.9,92,275,145,80,11.4,0.08893280632411324,0.08737864077669902,51.209662,-0.263148,11,74.6,73.37419354838713,0.4,26069.016321915966,11.206208440566568,50,60,70,80,90,100,110,120,11.200000000000728,11.206208440566115,42.303120921605505,42.3500332796311,-0.19999999999708962,-0.1317393957178865
2380,2380,   true,26101.8,26424.9,301,261,145,84,11.3,0.08919722497522171,0.08789062500000187,51.209694,-0.262998,11,74.6,73.41290322580646,0.0,26080.054632720054,11.038310804088178,50,60,70,80,90,100,110,120,11.0,11.038310804087814,40.80578469,41.0905164641887,-0.2000000000007276,-0.16789763647830114
2381,2381,   true,26112.9,26436.0,353,293,145,85,11.2,0.08937437934458724,0.08840864440078648,51.209720000000004,-0.262845,11,74.6,73.45806451612907,0.0,26091.09783810515,11.043205385095163,50,60,70,80,90,100,110,120,11.100000000002183,11.043205385096371,41.55108042691634,41.12696505770091,0.10000000000218279,0.004894581008556997
